Cline	Location	Altitude_meters_above_sea_level	Latitude_degree_North	Longitude_degree_East	Species	Sex	Common_Garden_Temperature_Degree_Centigrade	Phenotype	Phenotype_Unit	Data	Reference	Reference_DOI
Altitude	Shimla	2202	31.06	77.1	Drosophila nepalensis	Male	25	Desiccation	hours	21.18	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Rohtak	219	28.5	76.35	Drosophila takahashii	Male	25	Desiccation	hours	4.81	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Kalka	600	30.83	76.93	Drosophila takahashii	Male	25	Desiccation	hours	5.92	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Solan	1440	30.9	77.09	Drosophila takahashii	Male	25	Desiccation	hours	6.21	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Shimla	2202	31.06	77.1	Drosophila takahashii	Male	25	Desiccation	hours	7.7	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Rohtak	219	28.5	76.35	Drosophila nepalensis	Male	25	Starvation	hours	92.62	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Kalka	600	30.83	76.93	Drosophila nepalensis	Male	25	Starvation	hours	86.44	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Solan	1440	30.9	77.09	Drosophila nepalensis	Male	25	Starvation	hours	82.4	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Shimla	2202	31.06	77.1	Drosophila nepalensis	Male	25	Starvation	hours	75.9	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Rohtak	219	28.5	76.35	Drosophila takahashii	Male	25	Starvation	hours	37.46	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Kalka	600	30.83	76.93	Drosophila takahashii	Male	25	Starvation	hours	33.19	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Solan	1440	30.9	77.09	Drosophila takahashii	Male	25	Starvation	hours	28.06	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Shimla	2202	31.06	77.1	Drosophila takahashii	Male	25	Starvation	hours	23.66	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Kalka	600	30.83	76.93	Drosophila immigrans	Female	21	Copulation	minutes	29.12	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Mandi	761	31.58	76.91	Drosophila immigrans	Female	21	Copulation	minutes	31.28	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Bhuntar	1096	31.86	77.15	Drosophila immigrans	Female	21	Copulation	minutes	32.57	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Dharampur	1211	30.9	77.09	Drosophila immigrans	Female	21	Copulation	minutes	33.36	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Solan	1440	30.9	77.09	Drosophila immigrans	Female	21	Copulation	minutes	34.71	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Barog	1700	30.89	77.07	Drosophila immigrans	Female	21	Copulation	minutes	35.4	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Kasauli	1951	30.9	76.96	Drosophila immigrans	Female	21	Copulation	minutes	37.15	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Shimla	2202	31.06	77.1	Drosophila immigrans	Female	21	Copulation	minutes	39.27	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Kalka	600	30.83	76.93	Drosophila immigrans	Female	21	OvarioleNum	numbers	49.11	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Mandi	761	31.58	76.91	Drosophila immigrans	Female	21	OvarioleNum	numbers	49.81	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Bhuntar	1096	31.86	77.15	Drosophila immigrans	Female	21	OvarioleNum	numbers	50.48	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Dharampur	1211	30.9	77.09	Drosophila immigrans	Female	21	OvarioleNum	numbers	52.26	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Solan	1440	30.9	77.09	Drosophila immigrans	Female	21	OvarioleNum	numbers	53.36	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Barog	1700	30.89	77.07	Drosophila immigrans	Female	21	OvarioleNum	numbers	54.6	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Kasauli	1951	30.9	76.96	Drosophila immigrans	Female	21	OvarioleNum	numbers	55.15	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Shimla	2202	31.06	77.1	Drosophila immigrans	Female	21	OvarioleNum	numbers	56.33	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Kalka	600	30.83	76.93	Drosophila immigrans	Female	21	Fecundity	numbers	46.16	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Mandi	761	31.58	76.91	Drosophila immigrans	Female	21	Fecundity	numbers	49	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Bhuntar	1096	31.86	77.15	Drosophila immigrans	Female	21	Fecundity	numbers	52.4	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Dharampur	1211	30.9	77.09	Drosophila immigrans	Female	21	Fecundity	numbers	55.76	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Solan	1440	30.9	77.09	Drosophila immigrans	Female	21	Fecundity	numbers	58.44	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Barog	1700	30.89	77.07	Drosophila immigrans	Female	21	Fecundity	numbers	62.87	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Kasauli	1951	30.9	76.96	Drosophila immigrans	Female	21	Fecundity	numbers	64.12	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Shimla	2202	31.06	77.1	Drosophila immigrans	Female	21	Fecundity	numbers	69.8	"Singh S, Ramniwas S, Parkash R. 2009. Fitness consequences of body melanization in Drosophila immigrans from montane habitats. Entomological Research 39:182-191."	doi:10.1111/j.1748-5967.2009.00217.x
Altitude	Chandigarh	400	30.44	76.53	Drosophila ananassae	Female	25	Fecundity	numbers	55.03	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Kalka	600	30.83	76.93	Drosophila ananassae	Female	25	Fecundity	numbers	56.12	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Solan	1440	30.9	77.09	Drosophila ananassae	Female	25	Fecundity	numbers	38.12	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Parwanoo	640	30.83	76.96	Drosophila melanogaster	Female	21	ChillComa	minutes	32.12	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Nahan	1038	30.55	77.29	Drosophila melanogaster	Female	21	ChillComa	minutes	29.24	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Dharampur	1437	30.9	77.09	Drosophila melanogaster	Female	21	ChillComa	minutes	26.69	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Barog	1680	30.89	77.07	Drosophila melanogaster	Female	21	ChillComa	minutes	24.98	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
